Arity,I/O's
172,3411248
342,3162028
285,3245590
399,3078466
360,3135640
437,3022758
410,3062340
462,2986108
444,3012496
478,2962652
466,2980244
490,2945060
481,2958254
497,2934798
491,2943594
502,2927468
498,2933332
505,2923070
502,2927468
508,2918672
505,2923070
509,2917206
507,2920138
510,2915740
508,2918672
511,2914274
508,2918672
509,2917206
510,2915740
511,2914274
512,2912808
